id;res_gpt41ragv2_similarity;res_gpt41graphrag_similarity;
0;1.0;1.0;
1;0.9545167401589881;0.9172900094321041;
2;0.9260067283173619;0.9560164907104971;
3;0.9999999999999999;0.9999999999999999;
4;0.9751860328981807;0.9999999999999999;
5;0.9573407249328023;0.8959696487703643;
6;0.9519565372653767;0.817615116574936;
7;0.7362126066283381;0.7861125432190492;
8;0.8549675688166454;0.839629736078995;
9;0.8809462607957506;0.899340809057428;
10;0.7746225261062932;0.8232146209145533;
11;0.7610370415797658;0.6629742446350786;
12;0.79507300295468;0.8500309185353381;
13;0.876659104993043;0.8056261176880823;
14;0.8037121504897167;1.0;
15;0.8171904417492214;0.7494322424554782;
16;0.7698108806481754;0.843832871328061;
17;0.9114306682436988;0.9437989917546539;
18;0.6912051227002398;0.9008181042129753;
19;0.658752522439067;0.8995017743957245;
20;0.7787238940560377;0.9536398432516968;
21;0.7771575877046387;0.9999993891141621;
22;0.7034507955368027;0.9863362407670584;
23;0.826713654315314;0.9719385936897627;
24;0.8918289408208725;0.917419310751299;
25;0.9206070559566424;0.8563470276987231;
26;0.44563934192691457;0.5643757178459405;
27;0.8011197925457285;0.8902769993187101;
28;0.31012766680757575;0.698757978315165;
29;0.08086371915060708;0.495529162767187;
30;0.5769600424349051;0.9389528569600656;
31;0.5777373182250176;0.8627999141345499;
32;0.5871379684091437;0.9999994682517399;
33;0.09555236772537795;0.9253519196076577;
34;0.4710012636039673;1.0;
35;0.6930170517296036;0.9427789928296362;
36;0.7559432119195477;0.751344354422858;
37;0.8201574690333675;0.8930997846192328;
38;0.2612268269978265;0.1265220701589043;
39;0.7657003703670902;0.9450549382671556;
40;0.7182766680485508;0.8002526646374506;
41;0.2597406876769799;0.3460395743320326;
42;0.745741330407824;0.9013198558075675;
43;0.19371493534806322;0.2935806128893569;
44;0.15421620096529504;0.24975279871673992;
45;0.6055383959382248;0.8519872110347464;
46;0.5492839003925445;0.7216196287519833;
47;0.5155839527456154;0.7848424288752525;
48;0.27706431892783345;0.36232429645965203;
49;0.5905173465760749;0.6341505495112713;
50;0.8241628795044161;0.9598858399385409;
51;0.3902883628880763;0.8449699219890414;
52;0.09072127050806258;0.598845336170702;
53;-0.018413908346932552;0.7644465889056646;
54;0.5833891661810952;0.7938571351298254;
55;0.4882847357828489;0.8555701323453494;
56;0.5302723076185845;0.7299721752472614;
57;0.4831921419989231;0.8206956510955503;
58;0.5492974742193821;0.19810132159492855;
59;0.0;0.7561395565378894;
60;0.5461943550287356;0.9999959282102877;
61;0.49817391529066746;0.5441891340024279;
62;0.8115547650427299;0.7946005107706093;
63;0.6865318996493711;0.858748523270324;
64;0.6358788163559046;0.9999994968725473;
65;0.49594150502834417;0.3726102548054682;
66;0.4014715931337705;0.06536879855380902;
67;0.6141685595702606;0.7476248216318275;
68;0.0812185866406201;0.5093078173453786;
69;0.40336044842549956;0.677896612026583;
70;0.07363087233627512;0.953361796363628;
71;0.6004025074523809;0.946264104200468;
72;0.5780361446579854;0.9999999999999998;
73;0.5038988895269843;0.046274195452141315;
74;0.6469585473639525;0.9265468038950726;
75;0.707228829087823;0.3888354944965884;
76;0.6873652896553255;0.9959219146455333;
77;0.7920584514248835;0.9656303956954576;
78;0.3699896027894609;0.6266541400719603;
79;0.5731293678643807;0.7042096926241148;
80;0.03708679095973453;0.915591529752244;
81;0.6719284128917766;0.7249272083980293;
82;0.1944319834677354;0.36964857455264544;
83;0.6194098200956679;0.7011105350265792;
84;0.06252347185874411;0.9452454540692761;
85;0.7341380618428486;0.9274403807986626;
86;0.08234723906428873;0.716078457499888;
87;0.7477942766161607;0.9150139091055902;
88;0.5022537444645044;0.6719519017077653;
89;0.09828814252893692;0.8667621010789435;
90;0.7291157539136204;0.5071317460404612;
91;0.7391111393014977;0.9304408877991321;
92;0.7264273864083344;0.9458767659899264;
93;0.6845643412848763;0.6654994280394038;
94;0.22139508510741462;0.2843653787893713;
95;0.4695869671822872;0.47297465034868236;
96;0.49807889542622574;0.2911385409993436;
97;0.31337649286975017;0.29179780868691696;
98;0.5041507098055991;0.7618451131143424;
99;0.5425433293010777;0.7594632317767425;
